time,iou,precision,recall
4.164828,0.7529948659440958,0.7710280373831776,0.9698750918442322
1.8688,0.9541446208112875,0.9836363636363636,0.9695340501792115
1.804508,0.911340206185567,0.9344608879492601,0.973568281938326
1.723117,0.8275862068965517,1.0,0.8275862068965517
1.694268,0.8301886792452831,0.9777777777777777,0.8461538461538461
1.68838,1.0,1.0,1.0
1.732871,0.8333333333333334,0.9333333333333333,0.8860759493670886
1.759524,0.8016528925619835,0.97,0.8220338983050848
1.739822,0.8376068376068376,0.9333333333333333,0.8909090909090909
1.706319,0.46863468634686345,0.6614583333333334,0.616504854368932
1.684049,0.5682656826568265,0.7857142857142857,0.6724890829694323
1.664791,0.9382716049382716,0.95,0.987012987012987
1.66086,0.8536585365853658,1.0,0.8536585365853658
1.70358,0.8883248730964467,0.8928571428571429,0.9943181818181818
1.719467,0.5694267515923567,0.5775193798449613,0.9759825327510917
1.68681,0.39326765188834156,0.39718076285240467,0.9755600814663951
1.59804,0.7142857142857143,1.0,0.7142857142857143
1.626213,0.13333333333333333,1.0,0.13333333333333333
1.581465,0.7419354838709677,0.8846153846153846,0.8214285714285714
1.592558,0.5217391304347826,1.0,0.5217391304347826
1.608912,1.0,1.0,1.0
1.612817,0.7111111111111111,1.0,0.7111111111111111
1.577747,0.6666666666666666,1.0,0.6666666666666666
1.570272,0.18181818181818182,1.0,0.18181818181818182
1.566706,0.5,1.0,0.5
1.633686,0.7943262411347518,0.9333333333333333,0.8421052631578947
1.725545,0.869281045751634,1.0,0.869281045751634
1.717631,0.7162162162162162,0.9298245614035088,0.7571428571428571
1.714248,0.0,,0.0
1.705961,0.8235294117647058,1.0,0.8235294117647058
1.733982,0.9142857142857143,1.0,0.9142857142857143
1.779803,0.9085173501577287,1.0,0.9085173501577287
1.743405,0.47337278106508873,0.8695652173913043,0.5095541401273885
1.725327,0.7736842105263158,0.7989130434782609,0.9607843137254902
1.704374,1.0,1.0,1.0
1.687851,0.9690721649484536,0.9894736842105263,0.9791666666666666
1.702688,0.7920792079207921,0.8,0.9876543209876543
1.54434,0.15526315789473685,0.19032258064516128,0.4573643410852713
1.64213,0.6727272727272727,0.6851851851851852,0.9736842105263158
1.577293,0.7555555555555555,0.9714285714285714,0.7727272727272727
1.490691,0.8823529411764706,1.0,0.8823529411764706
1.471265,0.9203849518810149,0.9660238751147842,0.9511754068716094
1.454304,0.9237804878048781,0.9498432601880877,0.9711538461538461
1.419651,0.6474820143884892,0.6638566912539515,0.963302752293578
1.3977,0.8430034129692833,0.8821428571428571,0.95
1.372753,0.7943262411347518,1.0,0.7943262411347518
1.430123,0.8544303797468354,1.0,0.8544303797468354
1.456086,1.0,1.0,1.0
1.406014,0.7441860465116279,0.8205128205128205,0.8888888888888888
1.356825,0.6666666666666666,1.0,0.6666666666666666
1.393248,0.17073170731707318,0.7,0.18421052631578946
1.323726,0.3103448275862069,0.9,0.32142857142857145
1.221499,0.9682034976152624,0.9886363636363636,0.9790996784565916
1.101386,1.0,1.0,1.0
1.089119,0.8784313725490196,0.9655172413793104,0.9068825910931174
1.166698,0.8898678414096917,0.8977777777777778,0.9901960784313726
1.06169,0.9765625,0.9920634920634921,0.984251968503937
1.083068,0.6842105263157895,0.8024691358024691,0.8227848101265823
1.073534,0.8571428571428571,1.0,0.8571428571428571
1.064383,0.7241379310344828,0.84,0.84
1.099265,0.76,0.7916666666666666,0.95
1.07031,0.7301587301587301,0.7379679144385026,0.9857142857142858
1.031101,0.7377049180327869,1.0,0.7377049180327869
1.053347,0.7228915662650602,0.8823529411764706,0.8
1.404063,0.9107142857142857,0.9444444444444444,0.9622641509433962
1.43218,0.0,,0.0
1.447818,0.524390243902439,0.6688888888888889,0.7082352941176471
1.429607,0.7727272727272727,0.9444444444444444,0.8095238095238095
1.372432,0.8461538461538461,0.9166666666666666,0.9166666666666666
1.365091,1.0,1.0,1.0
1.457241,0.8311111111111111,0.8348214285714286,0.9946808510638298
1.543335,0.7897350993377483,0.792358803986711,0.9958246346555324
1.469889,0.6666666666666666,0.8888888888888888,0.7272727272727273
1.760302,0.6904761904761905,0.9666666666666667,0.7073170731707317
1.803455,1.0,1.0,1.0
1.661979,0.8895348837209303,0.95625,0.9272727272727272
1.481989,0.675,1.0,0.675
1.44362,0.7916666666666666,1.0,0.7916666666666666
1.553327,0.8638297872340426,0.9666666666666667,0.8903508771929824
1.266609,0.9444444444444444,1.0,0.9444444444444444
1.317445,0.8411669367909238,0.8480392156862745,0.9904580152671756
1.316284,0.9814241486068112,0.990625,0.990625
1.234116,0.825,0.9166666666666666,0.8918918918918919
1.226351,0.25,0.6666666666666666,0.2857142857142857
1.279554,0.9826086956521739,0.9912280701754386,0.9912280701754386
1.227111,0.9111111111111111,0.9761904761904762,0.9318181818181818
1.264746,0.7916666666666666,0.95,0.8260869565217391
1.269636,0.76,1.0,0.76
1.255992,0.9594594594594594,0.9861111111111112,0.9726027397260274
1.236568,0.6578947368421053,0.9259259259259259,0.6944444444444444
1.257786,0.5882352941176471,1.0,0.5882352941176471
1.22232,0.7777777777777778,1.0,0.7777777777777778
1.236462,0.7692307692307693,0.9090909090909091,0.8333333333333334
1.376542,0.2021688613477924,0.4097331240188383,0.28524590163934427
1.33307,0.6834170854271356,0.7083333333333334,0.951048951048951
1.331719,0.5769230769230769,0.75,0.7142857142857143
1.306398,0.2017291066282421,0.6306306306306306,0.22875816993464052
1.325613,0.2508924018357981,0.26324237560192615,0.8424657534246576
1.282323,0.4398496240601504,0.45703125,0.9212598425196851
