time,iou,precision,recall
7.071167,0.6479269149683766,0.9369918699186992,0.677443056576047
5.691098,0.6881720430107527,1.0,0.6881720430107527
2.033095,0.7136563876651982,1.0,0.7136563876651982
1.960087,0.7758620689655172,1.0,0.7758620689655172
1.921965,0.8076923076923077,1.0,0.8076923076923077
1.883599,0.8888888888888888,1.0,0.8888888888888888
1.918151,0.8333333333333334,0.9333333333333333,0.8860759493670886
1.908098,0.5338983050847458,1.0,0.5338983050847458
1.932024,0.5909090909090909,1.0,0.5909090909090909
1.880616,0.12077294685990338,0.9615384615384616,0.12135922330097088
1.941394,0.45147679324894513,0.9304347826086956,0.4672489082969432
1.837872,0.8607594936708861,0.9714285714285714,0.8831168831168831
1.834149,0.6341463414634146,1.0,0.6341463414634146
1.853425,0.7679558011049724,0.9652777777777778,0.7897727272727273
1.876353,0.5354449472096531,0.6339285714285714,0.7751091703056768
1.8772,0.6316614420062696,0.7327272727272728,0.8207739307535642
1.825286,0.7142857142857143,1.0,0.7142857142857143
1.771282,0.0,,0.0
1.838204,0.7333333333333333,0.9166666666666666,0.7857142857142857
1.781128,0.8076923076923077,0.875,0.9130434782608695
1.766566,0.8461538461538461,1.0,0.8461538461538461
1.770187,0.6222222222222222,1.0,0.6222222222222222
1.630718,0.8157894736842105,0.9393939393939394,0.8611111111111112
1.663987,0.0,,0.0
1.654645,0.8181818181818182,0.9,0.9
1.66925,0.6879432624113475,0.9238095238095239,0.7293233082706767
1.375409,0.7058823529411765,1.0,0.7058823529411765
1.198222,0.45714285714285713,1.0,0.45714285714285713
1.194704,0.0,,0.0
1.147346,0.8235294117647058,1.0,0.8235294117647058
1.230578,0.6285714285714286,1.0,0.6285714285714286
1.22302,0.7066246056782335,1.0,0.7066246056782335
1.491905,0.44025157232704404,0.9722222222222222,0.445859872611465
1.732906,0.8198757763975155,0.9428571428571428,0.8627450980392157
1.752565,0.8888888888888888,1.0,0.8888888888888888
1.762896,0.8854166666666666,1.0,0.8854166666666666
1.755478,0.7901234567901234,1.0,0.7901234567901234
1.787792,0.1308411214953271,0.1794871794871795,0.32558139534883723
1.234653,0.7333333333333333,0.825,0.868421052631579
1.731856,0.45454545454545453,1.0,0.45454545454545453
1.651738,0.8823529411764706,1.0,0.8823529411764706
1.732873,0.6835443037974683,1.0,0.6835443037974683
1.664002,0.7211538461538461,1.0,0.7211538461538461
1.172484,0.47639484978540775,0.8809523809523809,0.5091743119266054
1.16386,0.7384615384615385,1.0,0.7384615384615385
1.121294,0.851063829787234,1.0,0.851063829787234
1.082019,0.6075949367088608,1.0,0.6075949367088608
1.105357,0.8260869565217391,1.0,0.8260869565217391
1.042872,0.2777777777777778,1.0,0.2777777777777778
1.07465,0.6666666666666666,1.0,0.6666666666666666
1.042194,0.1794871794871795,0.875,0.18421052631578946
1.042537,0.2857142857142857,1.0,0.2857142857142857
0.938383,0.7540192926045016,1.0,0.7540192926045016
0.884469,0.8888888888888888,1.0,0.8888888888888888
0.906057,0.680161943319838,1.0,0.680161943319838
0.889256,0.6862745098039216,1.0,0.6862745098039216
0.871616,0.7480314960629921,1.0,0.7480314960629921
0.906387,0.7974683544303798,1.0,0.7974683544303798
0.891237,0.6390977443609023,1.0,0.6390977443609023
0.883599,0.7241379310344828,0.84,0.84
0.84904,0.64,0.7619047619047619,0.8
0.875002,0.75,0.9047619047619048,0.8142857142857143
0.854242,0.8524590163934426,1.0,0.8524590163934426
0.867363,0.8666666666666667,1.0,0.8666666666666667
1.153702,0.660377358490566,1.0,0.660377358490566
1.101741,0.0,,0.0
1.178382,0.30839002267573695,0.8947368421052632,0.32
1.173078,0.7142857142857143,1.0,0.7142857142857143
1.10272,0.75,1.0,0.75
1.177847,0.8181818181818182,1.0,0.8181818181818182
1.179916,0.7408854166666666,0.9726495726495726,0.7566489361702128
1.209756,0.7505197505197505,0.9944903581267218,0.7536534446764092
1.098241,0.6666666666666666,0.8888888888888888,0.7272727272727273
1.148364,0.6585365853658537,1.0,0.6585365853658537
1.150248,0.8947368421052632,1.0,0.8947368421052632
1.211949,0.7212121212121212,1.0,0.7212121212121212
1.123884,0.6,1.0,0.6
1.142537,0.7083333333333334,1.0,0.7083333333333334
1.195981,0.6578947368421053,1.0,0.6578947368421053
1.202392,0.6481481481481481,1.0,0.6481481481481481
1.245236,0.7966101694915254,0.9837209302325581,0.8072519083969466
1.202366,0.7,1.0,0.7
1.185698,0.825,0.9166666666666666,0.8918918918918919
1.172014,0.26666666666666666,0.8,0.2857142857142857
1.187314,0.8947368421052632,1.0,0.8947368421052632
1.176513,0.8181818181818182,1.0,0.8181818181818182
3.306106,0.463768115942029,1.0,0.463768115942029
1.255128,0.8571428571428571,0.9705882352941176,0.88
1.240719,0.8767123287671232,1.0,0.8767123287671232
1.162818,0.5833333333333334,1.0,0.5833333333333334
1.191102,0.8333333333333334,0.9375,0.8823529411764706
1.155468,0.6666666666666666,1.0,0.6666666666666666
1.2313,0.75,1.0,0.75
1.334729,0.07026476578411406,0.5073529411764706,0.07540983606557378
1.272359,0.6866666666666666,0.9363636363636364,0.7202797202797203
1.219842,0.4722222222222222,0.9444444444444444,0.4857142857142857
1.229074,0.07467532467532467,0.92,0.07516339869281045
1.234208,0.3181818181818182,0.3697632058287796,0.6952054794520548
1.279106,0.61875,0.75,0.7795275590551181
1.164541,0.5789473684210527,0.9166666666666666,0.6111111111111112
1.17363,0.48484848484848486,1.0,0.48484848484848486
1.172703,0.5,1.0,0.5
1.237731,0.7147826086956521,0.9927536231884058,0.7185314685314685
1.230094,0.7692307692307693,0.8333333333333334,0.9090909090909091
1.201415,0.8955223880597015,1.0,0.8955223880597015
1.265311,0.8671328671328671,0.96875,0.8920863309352518
1.210413,0.8857142857142857,1.0,0.8857142857142857
1.224839,0.4666666666666667,1.0,0.4666666666666667
1.253664,0.8571428571428571,1.0,0.8571428571428571
1.195748,0.7710843373493976,1.0,0.7710843373493976
1.230866,0.5454545454545454,1.0,0.5454545454545454
1.214966,0.8484848484848485,1.0,0.8484848484848485
1.251856,0.6451612903225806,1.0,0.6451612903225806
1.216738,0.88,1.0,0.88
1.167162,0.8,1.0,0.8
1.122218,0.7472527472527473,1.0,0.7472527472527473
1.134159,0.6952380952380952,0.9125,0.7448979591836735
1.123466,0.6638297872340425,0.8813559322033898,0.7289719626168224
1.086341,0.75,0.9,0.8181818181818182
1.114733,0.07368421052631578,0.6363636363636364,0.07692307692307693
1.147728,0.7529812606473595,0.9800443458980045,0.7647058823529411
1.160039,0.752442996742671,0.9625,0.7751677852348994
1.078526,0.6666666666666666,1.0,0.6666666666666666
1.181603,0.7590361445783133,1.0,0.7590361445783133
1.154703,0.75,1.0,0.75
1.146976,0.7764705882352941,0.825,0.9295774647887324
1.135677,0.9047619047619048,1.0,0.9047619047619048
1.15113,0.759493670886076,1.0,0.759493670886076
1.164271,0.7991803278688525,0.9948979591836735,0.8024691358024691
1.156963,0.6923076923076923,1.0,0.6923076923076923
1.134517,0.7832167832167832,1.0,0.7832167832167832
1.172763,0.764505119453925,1.0,0.764505119453925
1.15565,0.7147335423197492,1.0,0.7147335423197492
1.135973,0.6122448979591837,1.0,0.6122448979591837
1.181794,0.8888888888888888,1.0,0.8888888888888888
1.112784,0.875,1.0,0.875
1.105497,0.7,1.0,0.7
1.115569,0.45161290322580644,1.0,0.45161290322580644
1.141938,0.718562874251497,1.0,0.718562874251497
1.112535,0.8421052631578947,1.0,0.8421052631578947
1.111245,0.13680154142581888,0.7553191489361702,0.1431451612903226
1.123714,0.7547169811320755,1.0,0.7547169811320755
1.098236,0.8085106382978723,0.9934640522875817,0.8128342245989305
1.098667,0.6446991404011462,1.0,0.6446991404011462
1.061594,0.7272727272727273,1.0,0.7272727272727273
1.074073,0.7777777777777778,1.0,0.7777777777777778
1.110015,0.7837837837837838,1.0,0.7837837837837838
1.0782,0.8,0.9523809523809523,0.8333333333333334
1.08215,0.8734177215189873,1.0,0.8734177215189873
1.052116,0.5,1.0,0.5
1.237544,0.3905899925317401,0.5117416829745597,0.6226190476190476
1.249972,0.6027667984189723,0.9775641025641025,0.6112224448897795
1.204487,0.7,1.0,0.7
1.199088,0.7361963190184049,1.0,0.7361963190184049
1.27246,0.2619279454722493,0.30742857142857144,0.6389548693586699
1.198006,0.8450704225352113,1.0,0.8450704225352113
1.171621,0.875,1.0,0.875
1.209784,0.8484848484848485,1.0,0.8484848484848485
1.188314,0.717948717948718,1.0,0.717948717948718
1.155631,0.625,1.0,0.625
1.256648,0.4528593508500773,0.5931174089068826,0.6569506726457399
1.226133,0.7104247104247104,1.0,0.7104247104247104
1.255369,0.6124744376278118,0.8757309941520468,0.6707726763717805
1.260169,0.6018711018711018,0.7824324324324324,0.7228464419475655
1.249755,0.6099865047233468,1.0,0.6099865047233468
1.205558,0.7727272727272727,1.0,0.7727272727272727
1.202312,0.8796296296296297,1.0,0.8796296296296297
1.224927,0.7351351351351352,1.0,0.7351351351351352
1.210521,0.8780487804878049,1.0,0.8780487804878049
1.208281,0.5257731958762887,1.0,0.5257731958762887
1.212224,0.35714285714285715,1.0,0.35714285714285715
1.24039,0.4740740740740741,1.0,0.4740740740740741
1.247385,0.6117021276595744,1.0,0.6117021276595744
1.285474,0.6463700234192038,1.0,0.6463700234192038
1.3035,0.3409090909090909,0.37157757496740546,0.8050847457627118
1.255576,0.9042553191489362,1.0,0.9042553191489362
1.202019,0.625,1.0,0.625
1.202852,0.864406779661017,1.0,0.864406779661017
1.222306,0.9,1.0,0.9
1.199005,0.8571428571428571,1.0,0.8571428571428571
1.276756,0.6778523489932886,0.8706896551724138,0.753731343283582
1.077405,0.5805626598465473,0.6656891495601173,0.8194945848375451
0.988274,0.6872246696035242,1.0,0.6872246696035242
0.976034,0.7074829931972789,1.0,0.7074829931972789
0.961783,0.6798029556650246,1.0,0.6798029556650246
1.147807,0.042105263157894736,0.36363636363636365,0.045454545454545456
2.252165,0.34328358208955223,0.8070175438596491,0.37398373983739835
1.016719,0.75,1.0,0.75
0.929121,0.45454545454545453,1.0,0.45454545454545453
0.918909,0.7714285714285715,1.0,0.7714285714285715
0.912917,0.375,1.0,0.375
0.914219,0.8333333333333334,1.0,0.8333333333333334
0.924835,0.6612903225806451,0.8541666666666666,0.7454545454545455
0.922395,0.6545454545454545,1.0,0.6545454545454545
0.919155,0.6875,1.0,0.6875
0.938448,0.8181818181818182,1.0,0.8181818181818182
